iteration,loss,accuracy
0,2.75547,7.8125
1,2.44868,11.71875
2,2.41171,14.0625
3,2.39356,18.75
4,2.37661,25.78125
5,2.34441,21.09375
6,2.39548,17.96875
7,2.35808,17.1875
8,2.36556,22.65625
9,2.26566,25.78125
10,2.4004,16.40625
11,2.32689,22.65625
12,2.36129,18.75
13,2.41413,14.84375
14,2.38096,17.96875
15,2.33481,22.65625
16,2.36605,19.53125
17,2.36595,21.09375
18,2.35904,19.53125
19,2.39629,14.0625
20,2.30771,21.09375
21,2.34786,15.625
22,2.33177,20.3125
23,2.32699,22.65625
24,2.34805,20.3125
25,2.36986,15.625
26,2.40482,15.625
27,2.32038,20.3125
28,2.4048,15.625
29,2.3504,16.40625
30,2.28147,26.5625
31,2.30767,21.09375
32,2.32789,18.75
33,2.32368,21.09375
34,2.3016,24.21875
35,2.31402,20.3125
36,2.35106,17.1875
37,2.29109,21.875
38,2.32725,14.0625
39,2.28256,22.65625
40,2.2801,24.21875
41,2.29467,21.09375
42,2.28338,23.4375
43,2.2933,22.65625
44,2.22112,26.5625
45,2.26203,27.34375
46,2.17224,26.5625
47,2.27803,20.3125
48,2.22296,25.0
49,2.26609,20.3125
50,2.22421,22.65625
51,2.27072,19.53125
52,2.20138,28.90625
53,2.24183,22.65625
54,2.25164,26.5625
55,2.19209,25.0
56,2.18357,28.125
57,2.10499,31.25
58,2.11926,32.8125
59,2.07735,35.9375
60,2.09826,29.6875
61,1.99578,34.375
62,2.0707,27.34375
63,2.12648,34.375
64,1.88671,42.96875
65,2.04358,32.03125
66,2.03574,37.5
67,1.96883,35.15625
68,1.87749,38.28125
69,1.69079,51.5625
70,1.9709,40.625
71,1.91108,37.5
72,1.88861,39.84375
73,1.97433,35.15625
74,1.93071,32.03125
75,1.7704,42.96875
76,1.83086,43.75
77,1.86733,39.84375
78,1.5957,52.34375
79,1.70336,42.1875
80,1.63935,52.34375
81,1.67059,47.65625
82,1.80053,42.1875
83,1.75685,37.5
84,1.55315,52.34375
85,1.66798,44.53125
86,1.44991,56.25
87,1.66011,44.53125
88,1.6664,44.53125
89,1.54205,46.09375
90,1.48898,53.125
91,1.46862,51.5625
92,1.52528,48.4375
93,1.51311,57.03125
94,1.23431,67.1875
95,1.42558,59.375
96,1.45155,52.34375
97,1.4199,60.15625
98,1.35654,57.03125
99,1.22333,63.28125
100,1.5485,57.03125
101,1.2374,60.15625
102,1.2334,63.28125
103,1.32023,57.8125
104,1.42339,53.90625
105,1.19629,68.75
106,1.09504,67.1875
107,1.30212,58.59375
108,1.21638,60.15625
109,1.31718,57.8125
110,1.37192,55.46875
111,1.31979,57.03125
112,1.18756,64.84375
113,1.19735,67.96875
114,1.15106,66.40625
115,1.2476,63.28125
116,1.09699,71.09375
117,1.15757,60.15625
118,1.11833,67.1875
119,1.19742,66.40625
120,1.22807,59.375
121,1.21854,65.625
122,0.986629,71.875
123,1.20452,60.15625
124,1.29862,59.375
125,1.057,71.09375
126,0.947938,75.0
127,1.13366,64.0625
128,1.07256,71.09375
129,1.28693,64.0625
130,1.07996,67.1875
131,1.21625,60.9375
132,1.12374,66.40625
133,1.21845,61.71875
134,0.980275,71.875
135,0.955297,66.40625
136,0.97191,75.0
137,0.971568,67.1875
138,1.48526,60.15625
139,1.15031,69.53125
140,1.32459,54.6875
141,1.26428,64.84375
142,1.15665,69.53125
143,1.11166,66.40625
144,0.94709,75.78125
145,1.08528,63.28125
146,0.952447,71.09375
147,0.995767,66.40625
148,0.988248,71.09375
149,1.08218,65.625
150,1.10923,66.40625
151,0.952393,74.21875
152,1.06869,64.0625
153,0.900605,72.65625
154,0.961666,71.09375
155,0.984264,71.09375
156,1.15091,68.75
157,1.16487,71.09375
158,1.05205,71.09375
159,0.913683,69.53125
160,1.15448,68.75
161,0.791435,78.125
162,0.90302,74.21875
163,1.16221,66.40625
164,1.13791,69.53125
165,1.131,70.3125
166,1.06006,70.3125
167,1.04011,67.96875
168,0.975494,70.3125
169,1.034,65.625
170,0.795343,75.78125
171,0.995652,68.75
172,1.09517,68.75
173,0.844732,78.125
174,1.05359,73.4375
175,0.737715,78.90625
176,0.98253,67.1875
177,0.838386,78.90625
178,0.921581,71.875
179,1.13633,68.75
180,0.934979,72.65625
181,0.859648,79.6875
182,0.929378,71.09375
183,0.785228,78.90625
184,0.741102,82.03125
185,1.03615,67.96875
186,0.791934,80.46875
187,0.831969,78.125
188,0.973242,72.65625
189,0.766687,81.25
190,0.719962,79.6875
191,0.841598,77.34375
192,0.811733,78.125
193,0.896352,78.125
194,0.902239,74.21875
195,1.06555,70.3125
196,0.821351,80.46875
197,1.07708,75.0
198,0.60364,84.375
199,0.930299,70.3125
200,0.727434,76.5625
201,0.887748,67.96875
202,0.945233,73.4375
203,0.862786,71.875
204,1.08776,69.53125
205,0.740344,77.34375
206,0.88603,71.875
207,0.922556,72.65625
208,0.996389,76.5625
209,0.703809,79.6875
210,0.914501,78.125
211,0.873169,77.34375
212,0.775094,77.34375
213,0.814677,77.34375
214,0.797798,76.5625
215,0.743964,77.34375
216,0.854874,80.46875
217,0.857895,79.6875
218,1.03566,72.65625
219,0.936371,73.4375
220,0.741529,82.03125
221,0.884194,75.0
222,0.875485,75.0
223,0.978098,75.0
224,0.906374,76.5625
225,0.759425,78.125
226,0.82791,75.0
227,0.797979,73.4375
228,0.582372,84.375
229,0.971698,71.875
230,0.82829,75.0
231,0.92764,79.6875
232,0.645912,78.90625
233,0.885061,75.0
234,0.954268,71.09375
235,0.71301,79.6875
236,0.889575,75.78125
237,0.845749,75.0
238,0.875663,75.0
239,0.815227,75.0
240,0.73005,82.03125
241,0.864133,79.6875
242,0.870669,75.0
243,0.673001,82.8125
244,0.797991,75.0
245,0.755648,80.46875
246,0.676858,78.90625
247,0.882313,82.03125
248,0.887775,75.78125
249,0.74048,81.25
250,0.795964,73.4375
251,1.00291,72.65625
252,0.769434,79.6875
253,0.670995,85.15625
254,0.762852,78.90625
255,0.896934,75.78125
256,0.709562,82.8125
257,0.605408,81.25
258,0.774412,78.90625
259,0.99921,75.0
260,0.66779,82.8125
261,0.718501,80.46875
262,0.685456,78.90625
263,0.77872,77.34375
264,0.973437,72.65625
265,0.828137,79.6875
266,0.676811,80.46875
267,0.762964,78.90625
268,0.661304,84.375
269,0.89402,71.875
270,0.675187,79.6875
271,0.849449,72.65625
272,0.925608,73.4375
273,0.860889,72.65625
274,0.604776,85.15625
275,0.632266,81.25
276,0.71964,81.25
277,1.0027,71.875
278,0.818796,75.78125
279,0.617912,85.15625
280,0.793351,80.46875
281,0.803411,75.0
282,0.641702,83.59375
