iteration,loss,accuracy
0,2.4344,14.0625
1,2.55731,12.5
2,2.44583,10.9375
3,2.67801,15.625
4,2.51667,21.875
5,2.63015,12.5
6,2.39315,15.625
7,2.45509,15.625
8,2.44794,10.9375
9,2.36611,18.75
10,2.41454,18.75
11,2.39347,14.0625
12,2.35474,20.3125
13,2.43464,10.9375
14,2.44615,20.3125
15,2.37056,21.875
16,2.40033,21.875
17,2.38706,17.1875
18,2.37878,26.5625
19,2.33214,23.4375
20,2.4283,12.5
21,2.34586,17.1875
22,2.40105,15.625
23,2.37946,23.4375
24,2.44169,15.625
25,2.40938,18.75
26,2.45234,12.5
27,2.33143,18.75
28,2.40857,17.1875
29,2.37075,15.625
30,2.42924,9.375
31,2.35683,23.4375
32,2.42975,20.3125
33,2.33146,17.1875
34,2.39718,14.0625
35,2.42735,18.75
36,2.35649,18.75
37,2.33305,21.875
38,2.3802,14.0625
39,2.41448,14.0625
40,2.30008,23.4375
41,2.37897,10.9375
42,2.33451,23.4375
43,2.37807,17.1875
44,2.32729,20.3125
45,2.29173,18.75
46,2.29517,26.5625
47,2.38885,15.625
48,2.34505,18.75
49,2.31522,17.1875
50,2.39139,17.1875
51,2.29757,17.1875
52,2.43958,17.1875
53,2.41992,15.625
54,2.34612,20.3125
55,2.35048,20.3125
56,2.36956,18.75
57,2.44608,14.0625
58,2.36191,15.625
59,2.39514,10.9375
60,2.33614,18.75
61,2.32867,29.6875
62,2.34475,25.0
63,2.33142,26.5625
64,2.34963,18.75
65,2.32741,18.75
66,2.34223,20.3125
67,2.31511,26.5625
68,2.35737,17.1875
69,2.28771,28.125
70,2.29496,21.875
71,2.29265,20.3125
72,2.35195,17.1875
73,2.33115,15.625
74,2.33974,18.75
75,2.25787,18.75
76,2.32166,17.1875
77,2.36395,15.625
78,2.2519,18.75
79,2.32088,20.3125
80,2.31823,21.875
81,2.33437,15.625
82,2.2712,26.5625
83,2.26658,18.75
84,2.40722,10.9375
85,2.30253,25.0
86,2.33824,21.875
87,2.27905,21.875
88,2.2253,25.0
89,2.26553,26.5625
90,2.39873,18.75
91,2.31714,28.125
92,2.21975,26.5625
93,2.24023,23.4375
94,2.21554,21.875
95,2.37106,14.0625
96,2.35142,23.4375
97,2.15956,28.125
98,2.37067,15.625
99,2.25579,26.5625
100,2.21489,28.125
101,2.25121,15.625
102,2.36778,20.3125
103,2.298,21.875
104,2.20251,32.8125
105,2.25586,17.1875
106,2.2693,25.0
107,2.32868,18.75
108,2.29067,15.625
109,2.28926,17.1875
110,2.21967,28.125
111,2.27478,18.75
112,2.38541,12.5
113,2.16536,25.0
114,2.2138,28.125
115,2.2053,23.4375
116,2.1781,26.5625
117,2.22342,21.875
118,2.2698,23.4375
119,2.06567,31.25
120,2.12607,37.5
121,2.18702,31.25
122,2.14454,32.8125
123,2.04244,34.375
124,2.21469,23.4375
125,2.12447,31.25
126,2.21491,26.5625
127,2.17149,23.4375
128,2.0965,32.8125
129,1.90328,42.1875
130,2.10476,28.125
131,2.0271,35.9375
132,2.21719,21.875
133,2.12517,31.25
134,1.88813,32.8125
135,2.23967,20.3125
136,2.02263,25.0
137,1.97702,39.0625
138,1.88782,48.4375
139,1.77832,43.75
140,2.03975,32.8125
141,2.15074,23.4375
142,1.93682,37.5
143,1.95238,39.0625
144,1.96258,39.0625
145,1.97947,37.5
146,2.1256,29.6875
147,2.06281,35.9375
148,2.07638,29.6875
149,2.25499,23.4375
150,1.93192,37.5
151,2.04823,26.5625
152,1.89779,39.0625
153,1.83654,42.1875
154,1.9201,40.625
155,2.06776,29.6875
156,1.79197,43.75
157,1.89432,40.625
158,1.80117,37.5
159,2.04478,32.8125
160,2.04089,39.0625
161,1.68146,46.875
162,1.93101,40.625
163,1.87513,32.8125
164,1.93281,37.5
165,2.02233,34.375
166,1.82363,39.0625
167,1.99961,34.375
168,1.88008,42.1875
169,1.64543,50.0
170,1.93213,40.625
171,1.87177,35.9375
172,1.70594,42.1875
173,1.80605,46.875
174,1.86907,45.3125
175,1.955,32.8125
176,1.71131,42.1875
177,1.93548,40.625
178,1.93851,43.75
179,1.74161,45.3125
180,1.81836,39.0625
181,1.63292,43.75
182,1.86076,37.5
183,1.74378,42.1875
184,1.85268,46.875
185,1.71299,50.0
186,1.55338,54.6875
187,1.91836,32.8125
188,1.61554,45.3125
189,1.61021,51.5625
190,1.84719,39.0625
191,1.3727,62.5
192,1.50954,54.6875
