iteration,loss,accuracy
0,2.96636,7.03125
1,2.57465,14.0625
2,2.53856,7.03125
3,2.56023,6.25
4,2.48045,11.71875
5,2.44678,13.28125
6,2.49959,10.15625
7,2.48677,10.9375
8,2.47785,10.9375
9,2.41807,14.0625
10,2.45383,12.5
11,2.45921,14.0625
12,2.41543,11.71875
13,2.45819,15.625
14,2.43093,9.375
15,2.42545,11.71875
16,2.44563,13.28125
17,2.43482,13.28125
18,2.43621,13.28125
19,2.45548,10.9375
20,2.41736,16.40625
21,2.43111,17.1875
22,2.41486,10.9375
23,2.38662,17.1875
24,2.42898,15.625
25,2.42019,16.40625
26,2.41086,14.84375
27,2.4458,14.0625
28,2.45626,14.84375
29,2.42017,14.0625
30,2.3823,16.40625
31,2.40789,14.0625
32,2.38376,16.40625
33,2.41851,19.53125
34,2.37976,14.84375
35,2.3774,14.84375
36,2.4389,10.9375
37,2.40217,17.96875
38,2.45565,13.28125
39,2.41333,17.1875
40,2.36555,17.96875
41,2.40779,17.96875
42,2.44631,8.59375
43,2.4016,17.1875
44,2.40003,14.0625
45,2.3929,17.96875
46,2.37334,21.875
47,2.4339,14.0625
48,2.40596,21.09375
49,2.45774,8.59375
50,2.435,10.9375
51,2.42907,14.0625
52,2.37446,12.5
53,2.41206,16.40625
54,2.45686,9.375
55,2.41839,17.96875
56,2.41631,13.28125
57,2.35518,20.3125
58,2.41003,15.625
59,2.38645,14.84375
60,2.441,12.5
61,2.38741,16.40625
62,2.42235,10.9375
63,2.42922,15.625
64,2.34726,21.09375
65,2.41858,10.9375
66,2.44297,13.28125
67,2.40726,21.09375
68,2.40573,14.84375
69,2.3729,18.75
70,2.42829,20.3125
71,2.34352,21.09375
72,2.39136,16.40625
73,2.47405,12.5
74,2.38909,14.84375
75,2.39178,18.75
76,2.38502,17.96875
77,2.38389,17.1875
78,2.38306,19.53125
79,2.37633,11.71875
80,2.39416,14.0625
81,2.40923,17.1875
82,2.39206,16.40625
83,2.48239,11.71875
84,2.38653,20.3125
85,2.45546,10.15625
86,2.39571,18.75
87,2.47554,7.8125
88,2.41548,17.96875
89,2.43871,9.375
90,2.40645,15.625
91,2.39364,20.3125
92,2.37444,14.0625
93,2.39656,14.84375
94,2.39918,17.96875
95,2.38834,18.75
96,2.34958,20.3125
97,2.44192,13.28125
98,2.39562,15.625
99,2.4073,16.40625
100,2.4273,7.8125
101,2.37046,17.96875
102,2.39519,18.75
103,2.4049,12.5
104,2.42676,11.71875
105,2.46334,13.28125
106,2.40859,19.53125
107,2.40355,15.625
108,2.4135,14.0625
109,2.40208,16.40625
110,2.40408,17.96875
111,2.3999,13.28125
112,2.37796,18.75
113,2.45972,10.15625
114,2.37488,16.40625
115,2.4358,12.5
116,2.46464,14.84375
117,2.44065,12.5
118,2.40469,17.1875
119,2.41878,15.625
120,2.41037,16.40625
121,2.36818,18.75
122,2.36542,21.09375
123,2.42239,15.625
124,2.4004,12.5
125,2.44424,14.84375
126,2.37366,17.96875
127,2.39803,15.625
128,2.40222,14.0625
129,2.38237,18.75
130,2.41739,14.0625
131,2.38422,15.625
132,2.40667,17.96875
133,2.4236,14.84375
134,2.43155,10.9375
135,2.35732,21.09375
136,2.40109,15.625
137,2.40705,17.1875
138,2.38979,16.40625
139,2.38276,20.3125
140,2.40277,14.84375
141,2.40097,17.96875
142,2.39592,10.15625
143,2.383,16.40625
144,2.39928,15.625
145,2.39346,22.65625
146,2.39231,18.75
147,2.44324,8.59375
148,2.39677,13.28125
149,2.38822,17.1875
150,2.42503,15.625
151,2.37735,16.40625
152,2.41286,15.625
153,2.37907,16.40625
154,2.38579,19.53125
155,2.42453,10.15625
156,2.39174,16.40625
157,2.40636,15.625
158,2.43461,10.15625
159,2.39876,17.96875
160,2.42118,18.75
161,2.39481,17.1875
162,2.38024,14.0625
163,2.42128,15.625
164,2.39599,16.40625
165,2.39876,15.625
166,2.4243,15.625
167,2.40552,17.96875
168,2.38914,14.0625
169,2.41497,14.84375
170,2.37973,15.625
171,2.41087,17.96875
172,2.36864,14.84375
173,2.40262,10.15625
174,2.42671,10.15625
175,2.46515,5.46875
176,2.43871,11.71875
177,2.41239,14.0625
178,2.3978,16.40625
179,2.41592,18.75
180,2.40072,15.625
181,2.38811,10.9375
182,2.3505,17.96875
183,2.4363,14.0625
184,2.38109,19.53125
185,2.41087,17.1875
186,2.41128,17.1875
187,2.41457,15.625
188,2.41066,13.28125
189,2.37631,16.40625
190,2.42588,10.15625
191,2.43435,14.84375
192,2.4368,12.5
193,2.3908,15.625
194,2.4627,10.9375
195,2.3998,18.75
196,2.38644,24.21875
197,2.40188,13.28125
198,2.38324,23.4375
199,2.3885,21.09375
200,2.4538,10.15625
201,2.44163,13.28125
202,2.41299,12.5
203,2.40886,13.28125
204,2.45523,10.9375
205,2.39974,17.1875
206,2.38637,15.625
207,2.41426,14.84375
208,2.43105,14.84375
209,2.38119,17.1875
210,2.40803,16.40625
211,2.39996,15.625
212,2.40269,12.5
213,2.42203,16.40625
214,2.39211,14.84375
215,2.41808,14.84375
216,2.43825,15.625
217,2.42691,17.96875
218,2.40957,18.75
219,2.3732,21.875
220,2.41676,14.0625
221,2.41298,12.5
222,2.4198,16.40625
223,2.42045,13.28125
224,2.44165,19.53125
225,2.44791,13.28125
226,2.36772,21.09375
227,2.38819,20.3125
228,2.39228,19.53125
229,2.39937,17.1875
230,2.38013,19.53125
231,2.35256,21.875
232,2.34742,18.75
233,2.41561,13.28125
234,2.41532,14.0625
235,2.36992,17.96875
236,2.41311,17.1875
237,2.42161,10.15625
238,2.38689,11.71875
239,2.4276,11.71875
240,2.37235,17.96875
241,2.41595,18.75
242,2.4332,12.5
243,2.38758,18.75
244,2.4044,21.875
245,2.4129,18.75
246,2.3956,15.625
247,2.38263,15.625
248,2.43291,12.5
249,2.42196,14.0625
250,2.30238,25.78125
251,2.42298,15.625
252,2.36601,17.96875
253,2.38496,20.3125
254,2.38885,17.96875
255,2.39838,15.625
256,2.36412,18.75
257,2.39466,17.96875
258,2.37877,17.1875
259,2.4252,10.9375
260,2.47316,14.0625
261,2.38536,17.96875
262,2.41679,14.0625
263,2.40268,13.28125
264,2.41683,14.0625
265,2.3557,19.53125
266,2.42118,17.1875
267,2.40564,15.625
268,2.43548,12.5
269,2.39807,15.625
270,2.38704,18.75
271,2.39778,15.625
272,2.42549,14.0625
273,2.40201,16.40625
274,2.42259,11.71875
275,2.42015,13.28125
276,2.35699,21.09375
277,2.46877,9.375
278,2.41257,18.75
279,2.37571,17.1875
280,2.43023,13.28125
281,2.41958,10.9375
282,2.42248,11.71875
283,2.36739,17.1875
284,2.40721,15.625
285,2.41806,11.71875
286,2.44979,10.15625
287,2.4191,14.84375
288,2.39685,14.84375
289,2.444,13.28125
290,2.41026,21.09375
291,2.37384,21.09375
292,2.3954,14.0625
293,2.36834,19.53125
294,2.36594,18.75
295,2.37764,14.84375
296,2.42564,14.0625
297,2.39379,13.28125
298,2.43113,14.0625
299,2.36651,15.625
300,2.37745,20.3125
301,2.39776,19.53125
302,2.39838,17.96875
303,2.42092,12.5
304,2.38079,22.65625
305,2.38786,15.625
306,2.38881,18.75
307,2.37851,17.96875
308,2.41169,14.84375
309,2.36292,17.96875
310,2.42976,14.0625
311,2.37151,20.3125
312,2.36554,20.3125
313,2.41085,14.84375
314,2.37974,17.96875
315,2.39046,15.625
316,2.4013,10.9375
317,2.41711,13.28125
318,2.40739,15.625
319,2.36191,17.1875
320,2.44128,13.28125
321,2.3972,12.5
322,2.41575,14.0625
323,2.44548,11.71875
324,2.37212,20.3125
325,2.37997,14.84375
326,2.37494,21.875
327,2.34465,17.96875
328,2.41362,12.5
329,2.40555,16.40625
330,2.36933,20.3125
331,2.42023,13.28125
332,2.4164,17.1875
333,2.4418,14.84375
334,2.38302,17.1875
335,2.42431,14.0625
336,2.40247,21.875
337,2.37702,17.96875
338,2.42755,14.84375
339,2.4111,14.0625
340,2.40096,22.65625
341,2.41784,10.9375
342,2.4035,18.75
343,2.43345,15.625
344,2.41536,18.75
345,2.40705,14.84375
346,2.41765,14.0625
347,2.46522,10.15625
348,2.37519,18.75
349,2.42421,14.84375
350,2.38161,19.53125
351,2.42951,16.40625
352,2.39136,22.65625
353,2.40065,12.5
354,2.36163,20.3125
355,2.38519,19.53125
356,2.4045,17.96875
357,2.42861,14.0625
358,2.39447,16.40625
359,2.38946,18.75
360,2.35792,17.96875
361,2.42303,19.53125
362,2.41666,19.53125
363,2.41195,12.5
364,2.43286,18.75
365,2.42823,15.625
366,2.37826,21.09375
367,2.39781,21.09375
368,2.39658,11.71875
369,2.43699,14.0625
370,2.4263,13.28125
371,2.41637,17.1875
372,2.3801,18.75
373,2.3865,18.75
374,2.38391,10.9375
375,2.43203,6.25
376,2.44248,13.28125
377,2.40608,17.1875
378,2.36874,20.3125
379,2.35668,21.875
380,2.42959,14.84375
381,2.41676,17.96875
382,2.3884,16.40625
383,2.43872,14.0625
384,2.40996,17.1875
385,2.34523,20.3125
386,2.39886,17.1875
387,2.42977,12.5
388,2.39924,17.1875
389,2.34551,23.4375
390,2.38822,14.84375
391,2.4305,16.40625
392,2.40614,17.96875
393,2.42634,15.625
394,2.36835,18.75
395,2.38222,18.75
396,2.42182,13.28125
397,2.43297,10.9375
398,2.38517,17.1875
399,2.36616,25
400,2.44745,9.375
401,2.40325,15.625
402,2.38487,17.1875
403,2.37705,19.53125
404,2.39158,16.40625
405,2.42523,16.40625
406,2.40322,14.84375
407,2.43737,12.5
408,2.44051,13.28125
409,2.45515,12.5
410,2.41555,14.0625
411,2.46021,12.5
412,2.41136,15.625
413,2.34861,17.1875
414,2.39716,12.5
415,2.37517,17.96875
416,2.40213,16.40625
417,2.3912,11.71875
418,2.3994,16.40625
419,2.51846,8.59375
420,2.39483,20.3125
421,2.40648,17.96875
422,2.3818,18.75
423,2.40034,14.84375
424,2.37748,21.09375
425,2.38629,19.53125
426,2.40968,14.0625
427,2.44798,11.71875
428,2.41434,17.96875
429,2.36737,16.40625
430,2.43925,12.5
431,2.46137,18.75
432,2.47562,11.71875
433,2.4061,12.5
434,2.42162,14.0625
435,2.42421,14.84375
436,2.41494,16.40625
437,2.40565,13.28125
438,2.34348,22.65625
439,2.43766,10.15625
440,2.37727,21.875
441,2.43143,10.15625
442,2.36565,18.75
443,2.4033,21.875
444,2.39439,17.1875
445,2.40243,20.3125
446,2.40395,17.1875
447,2.39383,15.625
448,2.35294,17.1875
449,2.39793,18.75
450,2.44588,10.9375
451,2.45421,12.5
452,2.41306,17.1875
453,2.38663,16.40625
454,2.40004,11.71875
455,2.42211,17.1875
456,2.42032,14.0625
457,2.43051,17.96875
458,2.41863,17.1875
459,2.43492,16.40625
460,2.42982,13.28125
461,2.4559,9.375
462,2.39407,17.1875
463,2.40309,14.84375
464,2.42337,11.71875
465,2.39823,15.625
466,2.41188,14.0625
467,2.41015,13.28125
468,2.40902,15.625
469,2.40507,13.28125
470,2.41359,17.1875
471,2.39083,18.75
472,2.42537,15.625
473,2.41465,14.84375
474,2.41802,11.71875
475,2.37867,17.1875
476,2.43514,15.625
477,2.43342,14.0625
478,2.39207,14.0625
479,2.40718,14.84375
480,2.37498,19.53125
481,2.39677,14.84375
482,2.45285,14.84375
483,2.40116,17.96875
484,2.41781,12.5
485,2.42453,12.5
486,2.44518,12.5
487,2.394,18.75
488,2.38643,21.09375
489,2.40039,17.96875
490,2.41437,17.96875
491,2.41881,17.96875
492,2.39715,16.40625
493,2.38751,17.96875
494,2.37576,18.75
495,2.33273,22.65625
496,2.42806,11.71875
497,2.40809,15.625
498,2.37156,17.1875
499,2.40404,17.96875
500,2.42984,9.375
