iteration,loss,accuracy
0,6.15214,7.03125
1,3.85805,14.84375
2,3.81885,13.28125
3,3.59348,17.1875
4,3.27567,16.40625
5,3.15017,14.0625
6,3.04165,11.71875
7,2.98641,9.375
8,3.00846,12.5
9,2.77562,22.65625
10,2.81912,15.625
11,2.74797,21.09375
12,2.84563,14.84375
13,2.82804,12.5
14,2.82762,17.1875
15,2.72848,21.875
16,2.74499,17.96875
17,2.79485,18.75
18,2.70414,21.09375
19,2.72735,17.96875
20,2.72764,16.40625
21,2.72884,17.1875
22,2.74018,16.40625
23,2.70116,19.53125
24,2.67816,23.4375
25,2.79292,12.5
26,2.78221,14.0625
27,2.70289,21.09375
28,2.79636,11.71875
29,2.72338,17.96875
30,2.68485,26.5625
31,2.68121,21.09375
32,2.6924,23.4375
33,2.69131,21.09375
34,2.66695,26.5625
35,2.64179,23.4375
36,2.69101,17.1875
37,2.66679,21.09375
38,2.72127,15.625
39,2.64459,22.65625
40,2.66757,23.4375
41,2.63131,24.21875
42,2.68607,17.96875
43,2.67263,21.875
44,2.63655,24.21875
45,2.63226,26.5625
46,2.59901,27.34375
47,2.62571,23.4375
48,2.5903,27.34375
49,2.7189,18.75
50,2.65969,21.875
51,2.68855,16.40625
52,2.56931,29.6875
53,2.63901,25.78125
54,2.65057,25.78125
55,2.62484,26.5625
56,2.56488,28.90625
57,2.52109,27.34375
58,2.61573,26.5625
59,2.54143,25.78125
60,2.57541,31.25
61,2.44825,30.46875
62,2.60116,23.4375
63,2.6036,21.09375
64,2.38226,35.9375
65,2.49408,31.25
66,2.58073,29.6875
67,2.51675,28.90625
68,2.39565,36.71875
69,2.37644,39.84375
70,2.48042,27.34375
71,2.3314,36.71875
72,2.36508,32.03125
73,2.5664,23.4375
74,2.44678,31.25
75,2.41853,35.9375
76,2.34399,35.9375
77,2.35303,35.9375
78,2.11792,46.09375
79,2.33406,39.84375
80,2.14596,41.40625
81,2.19729,44.53125
82,2.24204,41.40625
83,2.21587,36.71875
84,2.02396,53.125
85,2.0915,41.40625
86,1.98866,50.0
87,1.9477,49.21875
88,2.00027,46.875
89,1.90021,46.09375
90,1.84149,59.375
91,1.99858,45.3125
92,1.6979,60.15625
93,1.68272,61.71875
94,1.49469,64.84375
95,1.71734,60.9375
96,1.66987,64.84375
97,1.63407,62.5
98,1.63885,51.5625
99,1.6076,67.1875
100,1.69002,58.59375
101,1.59021,66.40625
102,1.50903,64.84375
103,1.64993,60.9375
104,1.78467,53.90625
105,1.5485,62.5
106,1.47929,65.625
107,1.63673,64.0625
108,1.6697,57.8125
109,1.58058,57.8125
110,1.74481,58.59375
111,1.60177,57.03125
112,1.39761,71.875
113,1.6961,58.59375
114,1.53914,63.28125
115,1.51061,67.96875
116,1.42412,60.15625
117,1.53795,63.28125
118,1.52903,67.96875
119,1.48121,67.1875
120,1.48782,63.28125
121,1.51268,65.625
122,1.1973,75.0
123,1.24978,72.65625
124,1.39972,71.875
125,1.25567,74.21875
126,1.29288,71.875
127,1.48934,63.28125
128,1.23468,78.125
129,1.47057,65.625
130,1.33709,71.09375
131,1.48046,66.40625
132,1.2922,75.0
133,1.42089,66.40625
134,1.2909,73.4375
135,1.29311,69.53125
136,1.24413,74.21875
137,1.24755,71.09375
138,1.64925,67.1875
139,1.32372,71.875
140,1.37821,62.5
141,1.33645,64.84375
142,1.23184,71.09375
143,1.29537,75.0
144,1.21178,71.09375
145,1.28264,67.96875
146,1.18015,78.125
147,1.10826,77.34375
148,1.21885,77.34375
149,1.34654,67.96875
150,1.33533,74.21875
151,1.08316,82.03125
152,1.20585,75.78125
153,1.048,81.25
154,1.07059,75.78125
155,1.29207,71.09375
156,1.37786,73.4375
157,1.36627,69.53125
158,1.23595,76.5625
159,1.1772,75.78125
160,1.45161,68.75
161,0.988105,78.125
162,1.11765,75.0
163,1.29227,73.4375
164,1.23065,75.0
165,1.2445,75.0
166,1.27055,73.4375
167,1.26904,67.1875
168,1.23972,71.875
169,1.15462,75.78125
